;"Factor-1";"Factor-2";"Factor-3";"Factor-4";"Factor-5";"Factor-6";"Factor-7";"Factor-8";"Factor-9";"Factor-10";"Factor-11";"Factor-12"
"6019787";2.534389E-05;-7.40321E-05;-1.41899E-05;7.86798E-06;9.641039E-08;-2.915649E-06;-3.608761E-06;-4.86923E-06;1.584461E-06;2.769383E-06;4.530481E-06;-1.643746E-06
"6019788";4.403013E-05;5.335295E-06;-1.686793E-05;8.594102E-06;-6.633998E-06;-9.79588E-06;1.812517E-06;2.514165E-06;1.240552E-07;-3.025395E-07;9.120773E-07;-2.173126E-06
"6019789";4.087311E-05;5.108279E-06;-1.274643E-05;2.985641E-06;-7.377557E-06;-1.562294E-06;-3.253174E-06;-8.298952E-07;2.655985E-07;9.769266E-07;1.849072E-06;-5.332192E-06
"6019790";4.596782E-05;-6.459925E-05;3.174453E-05;2.396141E-05;-2.68808E-06;-2.400118E-06;4.430905E-06;-6.806455E-06;-3.845244E-06;5.970825E-06;7.473022E-06;-1.019777E-07
"6019791";3.243499E-05;1.283037E-05;-1.76669E-05;7.935648E-06;-3.429529E-06;-1.268659E-05;-1.155023E-06;3.586763E-06;8.749872E-07;2.060075E-07;-9.674234E-07;-5.028526E-06
"6019792";1.890548E-05;1.261137E-05;-4.795538E-06;6.164129E-06;-3.548556E-06;-1.98054E-05;-4.278469E-06;6.490654E-06;2.016737E-06;1.26051E-06;1.75883E-06;-2.500787E-06
"6019793";4.327045E-05;3.865339E-05;-8.667014E-06;6.790288E-06;-1.637253E-05;-1.403864E-05;-3.290234E-07;5.634395E-06;2.729704E-06;1.217759E-06;1.138275E-06;-9.058242E-07
"6019794";3.555638E-05;-1.192179E-06;7.910421E-06;6.873992E-06;-1.272107E-05;-8.372544E-06;1.146185E-06;7.357328E-06;-1.093797E-06;1.680493E-06;-6.891505E-07;5.31179E-07
"6019795";4.402865E-05;1.475097E-05;-1.309903E-06;1.488621E-05;-1.683964E-06;-1.234775E-05;4.622538E-06;8.761082E-06;2.045422E-06;2.669954E-06;5.051711E-06;5.418708E-07
"6019796";5.49197E-06;-9.956261E-05;1.432519E-05;7.533251E-06;6.92962E-06;-1.52312E-05;6.986809E-06;1.13839E-06;-3.073923E-06;2.58026E-06;1.488526E-06;-1.585984E-06
"6019797";2.382872E-05;-4.977066E-05;-1.061003E-05;-5.176937E-06;-3.353176E-06;-6.73781E-06;2.302581E-06;-2.878754E-06;-7.892861E-07;3.315978E-06;1.644107E-07;-2.549519E-06
"6019798";3.741502E-06;-0.000100189;4.703737E-07;4.259376E-06;-5.950731E-06;-1.489059E-05;1.991963E-06;-2.115791E-06;-1.477283E-06;4.946824E-06;1.253475E-06;-2.191562E-06
"6019799";2.5847E-05;-3.769262E-05;4.001131E-06;-6.132134E-06;-5.76207E-06;-7.788169E-06;3.992855E-06;2.33352E-06;-1.765306E-06;-1.219622E-07;4.634008E-07;-3.175578E-06
"6019800";1.901718E-05;-5.193814E-05;3.122816E-05;4.402668E-06;1.389048E-06;-6.052098E-06;6.446615E-06;-1.205736E-06;-5.018126E-06;7.445707E-07;2.428479E-06;-2.050718E-07
"6019801";2.364334E-05;-3.620257E-05;6.37571E-06;-3.558804E-06;-6.024137E-06;-6.081905E-06;-3.981626E-07;5.679517E-07;-4.859331E-06;-2.101128E-07;-1.527809E-06;-3.734253E-06
"6019802";2.08401E-05;-0.0001317808;4.30114E-05;1.627121E-05;8.415321E-06;-4.43674E-06;1.260485E-05;-8.356576E-06;-6.701333E-06;6.22321E-07;2.109663E-06;-8.744126E-06
"6019803";3.961317E-05;-3.984706E-05;1.505138E-05;-3.231307E-07;-1.058838E-05;-6.870704E-07;1.97273E-06;-4.646517E-06;-2.310123E-06;3.030045E-07;3.458499E-06;-3.367361E-06
"6019804";1.121725E-05;-6.975666E-05;3.791944E-05;-5.683321E-07;-1.702402E-05;-5.920442E-06;3.63598E-06;7.385682E-07;-6.520186E-06;2.068942E-06;-1.053113E-06;-1.082275E-07
"6019805";2.84414E-05;-1.341947E-05;-1.612561E-05;-3.038097E-06;-1.669814E-06;-1.123131E-05;3.028039E-06;-3.835792E-06;-2.920096E-06;-2.916982E-07;2.075269E-07;-6.222346E-06
"6019890";3.74966E-05;1.014266E-07;-2.790792E-05;2.585397E-06;-1.252914E-05;-1.545113E-05;-1.028274E-05;3.810453E-06;8.539204E-06;-3.368029E-07;3.638012E-06;1.838796E-06
"6019921";6.255704E-05;6.78197E-05;2.769496E-05;1.568386E-05;1.661052E-05;1.307734E-05;-9.310734E-07;-1.315694E-06;-3.451164E-06;-3.915018E-06;5.811962E-06;4.793147E-07
"6019953";2.439858E-05;9.317917E-06;3.804971E-06;7.183744E-06;1.387072E-05;2.127496E-06;5.706671E-07;-2.653106E-06;-1.528853E-06;-3.784188E-06;-5.410104E-07;4.192116E-06
"6019968";5.79148E-05;5.503023E-06;6.489936E-06;-1.072291E-06;-2.37604E-06;6.379047E-06;-5.380864E-06;-4.791179E-06;2.87947E-06;-3.726596E-06;7.774389E-06;3.922331E-06
"6019986";1.767991E-05;1.287352E-05;5.412412E-07;-1.525687E-06;-4.409864E-06;-1.843138E-05;4.342862E-07;3.143198E-06;-2.957235E-08;-1.174456E-06;7.004153E-07;2.079049E-06
"6019988";2.777074E-05;2.110367E-05;3.647438E-07;7.618264E-06;1.270292E-05;-1.256074E-05;-3.415796E-06;1.60064E-06;3.970591E-06;-1.140625E-06;6.652138E-06;7.028505E-06
"6020076";3.663222E-05;3.594556E-05;-2.726775E-06;1.140809E-05;7.82198E-06;-1.803023E-05;6.40347E-06;3.413331E-06;-1.90941E-07;1.238079E-06;5.566644E-06;-5.681114E-07
"6020099";2.004407E-05;-1.479917E-05;6.028556E-06;2.217705E-06;2.457137E-05;-2.951645E-06;2.843594E-07;2.728205E-06;9.184736E-06;-9.92317E-08;-4.529622E-06;2.896985E-06
"6020117";9.224676E-06;-6.755337E-06;1.032488E-05;6.333911E-07;1.336583E-05;-1.416932E-05;-8.156474E-06;7.011866E-06;6.940247E-06;-6.853332E-07;6.400742E-06;5.972305E-06
"6020125";2.754504E-05;9.353423E-06;6.980807E-06;-6.806408E-06;-8.101413E-06;-1.280496E-05;-3.657703E-06;3.377658E-06;8.762724E-07;-2.120367E-06;-2.147731E-06;4.615585E-06
"6020130";2.585508E-05;3.42474E-05;1.031405E-05;7.371702E-06;-1.012769E-05;-1.014742E-05;-5.073153E-06;-1.419974E-06;8.22976E-07;-1.65183E-06;-3.025272E-06;1.302344E-06
"6020339";2.322924E-06;-1.345616E-05;1.014534E-05;1.567581E-05;1.102984E-05;-1.441949E-05;1.289046E-07;1.895021E-06;6.290544E-07;-1.109686E-06;-1.578986E-07;-6.208358E-08
"6230262";8.673185E-05;-1.659324E-06;6.155221E-05;-2.005151E-05;-2.878194E-05;3.123562E-05;4.598816E-07;-3.041152E-06;2.294699E-06;-7.659821E-06;7.032573E-06;-2.656736E-06
"6234139";6.164082E-05;2.552103E-05;8.898747E-06;-3.62212E-05;-1.504308E-05;4.82147E-05;-1.213903E-05;1.297895E-06;-1.291485E-05;1.329719E-06;3.166201E-06;1.026004E-06
"6234217";2.60595E-05;9.339712E-05;2.593408E-05;-7.847269E-06;1.846372E-05;-2.879918E-05;-1.09896E-05;3.232431E-06;3.066694E-06;3.950961E-06;2.755797E-08;-9.668625E-06
"6234371";-3.367128E-05;3.145871E-05;7.483264E-06;-2.187845E-06;-5.239992E-06;1.269124E-05;-1.149743E-06;-1.536255E-06;3.007337E-06;-6.718517E-07;-1.005674E-06;6.542417E-07
"6234379";4.008098E-05;0.0001317594;1.153103E-05;-2.120823E-05;2.617941E-05;-7.411356E-06;-2.547454E-06;3.901997E-07;-5.355957E-06;5.75121E-06;1.788366E-06;-1.721652E-05
"6234577";1.000179E-05;2.774772E-05;2.368415E-05;-2.779783E-05;-2.157949E-06;-2.030084E-05;-1.042416E-05;-1.220584E-06;-7.637863E-06;1.042609E-06;-9.695586E-07;-1.00441E-07
"6234593";-1.170576E-06;8.543711E-06;-4.563109E-06;-3.459871E-05;-1.909128E-07;-2.956066E-05;-1.723519E-06;2.768824E-06;-9.233512E-06;-3.163186E-06;-2.805252E-06;4.843093E-06
"6235047";3.529874E-05;4.382594E-05;-6.364015E-06;6.387696E-06;-1.966667E-06;-1.986484E-06;-6.087254E-06;-9.732859E-07;2.782067E-06;3.843876E-07;-6.909176E-07;4.421343E-06
"6235394";3.216351E-06;5.006568E-05;1.543157E-05;-1.578939E-05;1.114212E-05;-2.610797E-05;-1.019298E-05;-4.789733E-06;-9.641426E-07;6.362142E-06;-2.417923E-06;-7.833956E-06
"6237221";-1.96017E-06;6.237542E-06;-2.846788E-05;5.708498E-06;-1.986169E-05;2.381922E-06;8.982453E-06;4.594243E-06;-2.753517E-06;6.734974E-07;-2.355086E-06;2.131214E-07
"6237222";8.839778E-06;-6.802682E-05;1.106009E-05;5.515147E-07;-1.137728E-05;3.040512E-06;-1.085994E-05;-4.596457E-06;-1.585428E-06;1.146032E-06;-4.856421E-06;3.468434E-07
"6237223";-1.944131E-05;-6.979697E-05;-1.79381E-05;-6.15428E-06;-7.867367E-06;1.515863E-05;1.916372E-06;1.317731E-06;2.935009E-07;2.654033E-06;-2.965284E-06;-2.607926E-06
"6237224";4.490826E-06;-5.469462E-05;4.19301E-06;6.856777E-06;-1.865742E-05;8.232647E-06;-2.938169E-06;-1.903327E-06;-2.428946E-06;-5.862203E-07;-2.675824E-06;1.777785E-06
"6237225";-2.24339E-05;-2.083495E-06;-2.644234E-06;1.167226E-06;3.125352E-05;1.912726E-05;-2.140119E-05;-3.677122E-06;-6.157021E-06;8.030808E-07;2.234271E-06;7.337886E-07
"6237226";1.96056E-05;5.994015E-05;1.750111E-05;1.319045E-06;1.898139E-05;4.715322E-06;-7.94085E-06;-2.917985E-06;-3.509857E-07;3.407194E-06;-2.065513E-06;-1.6586E-06
"6237227";1.262552E-05;3.230779E-05;-4.892561E-06;1.87749E-05;2.2746E-06;1.407086E-05;-6.528812E-07;-4.476109E-06;-4.724855E-07;-1.11319E-06;-5.081432E-06;-3.15502E-06
"6237228";1.49314E-05;-4.664766E-05;-4.182533E-06;-5.759123E-06;-2.143947E-06;4.376545E-06;-6.522203E-06;-2.36278E-06;-2.314991E-06;1.784174E-06;-3.249216E-06;-7.112331E-07
"6237229";3.85136E-07;-3.841693E-05;1.057006E-05;1.233689E-05;1.191E-05;4.925289E-06;-7.081583E-07;-3.767498E-06;1.302696E-06;7.927512E-07;-4.579581E-06;-4.506614E-06
