;"Factor-1";"Factor-2";"Factor-3";"Factor-4";"Factor-5";"Factor-6";"Factor-7";"Factor-8";"Factor-9";"Factor-10";"Factor-11";"Factor-12"
"6237301";-1.114542E-05;7.482113E-06;-1.81692E-05;8.957864E-06;-4.549439E-06;-1.685686E-06;-9.978279E-06;-7.451501E-06;-2.62202E-06;1.973519E-06;-3.065895E-06;2.262938E-06
"6237302";8.355547E-06;-1.359896E-05;-1.833813E-05;1.333338E-07;2.298453E-06;2.495859E-06;-8.093431E-06;1.369374E-06;2.358032E-06;1.405354E-06;-4.106165E-06;-4.87797E-07
"6237303";2.66639E-05;4.407909E-05;-2.548156E-05;-1.033767E-05;8.672848E-06;1.334105E-05;-3.606312E-06;5.240812E-06;-2.702036E-06;2.110542E-06;-4.923408E-06;3.467671E-06
"6237304";-3.381374E-06;6.33362E-05;-2.112128E-05;2.144448E-05;-6.254627E-06;2.853299E-06;-9.054096E-07;-5.383697E-06;-1.075496E-06;2.328439E-06;-8.985424E-08;-4.792999E-07
"6237305";-6.930261E-07;4.008333E-05;-3.455181E-06;7.208565E-06;8.879191E-06;1.349531E-05;7.323385E-06;7.348965E-06;5.278714E-07;3.641111E-06;-5.419724E-07;3.358243E-06
"6237306";-5.184848E-06;6.354747E-06;-2.621656E-05;8.034374E-06;-1.696603E-05;8.500378E-07;2.376757E-06;1.759443E-06;-2.652933E-06;2.772416E-06;1.486812E-07;2.726315E-06
"6237308";1.256293E-05;-5.483311E-05;-4.930569E-06;-2.940842E-06;1.443015E-05;1.489266E-05;-3.987311E-06;-1.441193E-06;-4.052885E-06;1.430198E-06;-7.939616E-08;8.606818E-06
"6237310";-1.107979E-05;1.359051E-05;4.188652E-06;-4.558729E-06;-7.915039E-06;-2.173716E-06;7.96514E-07;5.345328E-06;-1.791733E-06;-1.547054E-06;-5.385152E-06;-3.459568E-07
"6237311";-3.018247E-05;-9.282589E-06;2.342906E-06;-8.993742E-06;-9.976166E-06;1.072E-05;1.544872E-06;4.983081E-06;3.51024E-06;1.754189E-06;-1.680405E-06;2.379396E-06
"6237312";-4.046124E-05;-6.970195E-05;-2.431946E-05;-1.035707E-05;-8.199376E-06;2.503393E-06;5.822671E-06;6.090475E-06;-1.186639E-06;1.224285E-06;-1.100104E-07;-2.511648E-06
"6237313";3.418523E-05;4.066316E-05;-2.948994E-05;6.258043E-06;1.762642E-05;2.216285E-05;1.835477E-06;1.236168E-05;-8.724757E-06;2.999935E-06;1.149807E-06;-5.557112E-06
"6237314";2.364955E-05;4.43709E-05;1.262817E-05;5.540269E-06;-3.324384E-06;2.245336E-06;5.642361E-06;6.781611E-06;-9.909244E-06;-4.450885E-08;-3.239417E-07;-1.42952E-06
"6237315";-3.580564E-05;-5.565414E-06;-2.161801E-05;-4.039093E-07;-1.079081E-05;1.889069E-06;8.224396E-06;7.941319E-06;-3.860588E-08;9.537197E-07;-4.065349E-07;-3.384951E-06
"6237316";-1.009478E-05;1.498042E-05;-3.196274E-05;1.062869E-05;-6.359496E-06;-5.085068E-06;1.247044E-06;3.160683E-06;-2.926926E-06;-6.676449E-07;1.818858E-06;-1.689309E-06
"6237317";-3.966288E-05;-8.963222E-05;-3.203364E-05;-1.65031E-06;6.035604E-06;1.469255E-05;-1.332221E-06;4.126676E-06;-6.842009E-07;-2.470689E-06;1.51586E-06;-3.561524E-06
"6237318";-4.820886E-05;-0.0001095955;-3.269436E-05;-7.144079E-06;3.850796E-06;8.427947E-06;-2.511629E-06;6.761295E-06;-2.931637E-06;2.77094E-07;2.274767E-06;3.053446E-06
"6237319";6.065593E-05;4.139302E-05;-4.712476E-05;6.390522E-06;-4.863389E-06;-6.157974E-06;1.741567E-06;-4.545968E-07;-2.596321E-06;-2.036235E-06;-2.814162E-06;1.136102E-06
"6237320";3.101751E-05;1.800803E-05;-2.607042E-05;9.415027E-06;-1.487097E-05;1.299554E-06;-1.228946E-06;-3.411162E-07;-4.111061E-06;-1.342551E-06;-9.503884E-07;-4.72293E-06
"6237321";3.207547E-05;2.348931E-06;-2.424131E-05;1.018064E-05;-1.484087E-05;3.857138E-06;2.35233E-06;-1.213912E-07;-2.902805E-06;1.059298E-06;1.649712E-06;-1.798887E-06
"6237322";-3.784088E-05;-2.077935E-05;-1.142484E-05;-2.17351E-06;-1.821077E-07;4.062277E-06;-1.067161E-06;2.574936E-06;-3.84639E-06;-3.390538E-06;2.812345E-06;-7.040202E-07
"6237323";5.501438E-05;4.260327E-05;-2.801548E-05;5.160482E-06;5.28684E-06;2.749313E-06;-2.009657E-06;4.304677E-07;-3.938114E-06;-3.349148E-07;2.391249E-06;-1.594143E-07
"6237324";-1.129221E-06;-7.418801E-05;-3.272007E-05;-7.055798E-06;4.203645E-06;1.185326E-05;-1.636186E-05;-2.769547E-06;-3.866508E-06;-7.654409E-06;-1.831887E-06;6.97779E-08
"6237325";-8.239731E-06;2.479628E-05;-8.466995E-06;4.82103E-07;-4.94516E-06;3.82913E-07;1.613774E-06;7.007967E-06;3.527163E-06;1.111535E-05;1.045033E-05;5.354056E-06
"6237326";-5.16302E-05;-8.01041E-05;-2.094422E-05;-6.59373E-06;-2.578583E-06;3.480599E-06;1.984206E-07;4.257508E-06;-1.428237E-06;-1.722257E-06;2.385448E-06;-3.612233E-06
"6237327";-5.387897E-05;-8.512625E-05;-1.449667E-05;-5.38411E-06;-6.744427E-06;6.472701E-06;1.162004E-07;3.829198E-06;-1.304399E-06;-1.981251E-06;3.719021E-06;-2.973412E-06
"6237328";-4.116294E-05;-9.012933E-05;-2.079657E-05;-4.380844E-06;-2.030802E-06;1.26908E-05;2.695635E-06;9.061993E-06;-3.351743E-07;2.529064E-06;4.542572E-06;-3.502714E-06
"6237329";1.2232E-05;-1.04899E-05;2.796745E-06;6.025813E-06;3.55343E-07;1.974506E-05;-3.337052E-06;-1.751608E-06;1.085064E-06;1.763546E-06;-3.984408E-06;-1.107357E-06
"6237331";-1.23797E-05;1.389087E-05;2.104157E-05;-7.647301E-07;-3.236076E-06;-8.254926E-07;3.929098E-07;-1.110648E-06;-2.905024E-06;-2.222762E-06;-2.860393E-06;2.309439E-06
"6237332";-3.869879E-05;-8.596327E-06;-1.007634E-05;-1.500066E-06;-7.196967E-06;-3.268336E-06;-2.66124E-06;-6.835777E-06;-2.68495E-06;1.253586E-07;-3.737218E-07;4.647638E-06
"6237333";-6.652405E-06;-1.140532E-05;-3.139286E-06;-2.843038E-07;-2.400289E-06;3.058281E-06;-2.959865E-06;8.324203E-07;-1.233135E-06;1.124305E-06;-1.188115E-06;4.302521E-06
"6237336";-3.682252E-05;6.087024E-05;-1.262903E-05;7.537438E-06;6.298596E-06;8.074942E-06;-4.364055E-07;-8.628074E-06;-2.632537E-06;6.592167E-07;4.874738E-06;-1.471507E-06
"6237337";-4.971278E-05;-8.911766E-06;-2.219116E-06;-1.131441E-06;1.177906E-06;4.796288E-06;2.958707E-06;2.711999E-06;-7.586547E-07;-5.878967E-07;3.255739E-06;2.688696E-06
"6237338";4.221522E-05;-2.612189E-05;-1.170052E-05;-2.418826E-06;-5.488686E-06;2.633285E-06;3.53987E-06;-5.762224E-06;-4.063401E-06;2.065686E-06;2.57745E-07;8.771023E-07
"6237339";-2.793707E-05;-3.662005E-05;-1.408931E-05;-3.096918E-06;6.710657E-06;1.230162E-05;4.697747E-06;4.971152E-06;2.689645E-06;-1.24164E-06;2.847892E-06;-5.952559E-07
"6237340";1.812157E-05;-5.421336E-05;2.819468E-05;-1.739391E-06;-5.981331E-06;1.437812E-05;-5.669503E-06;-5.636319E-06;2.772813E-06;3.937739E-06;-2.296269E-06;3.627663E-06
"6237341";4.716617E-05;-4.367862E-05;-6.0885E-06;-9.369701E-06;1.676139E-05;-5.296733E-06;1.003756E-05;1.542892E-06;1.00387E-06;-5.600784E-07;1.954122E-06;6.26035E-06
"6237342";-2.661586E-05;3.10686E-05;-6.142541E-06;-1.252553E-05;7.148709E-06;8.000709E-06;6.72755E-06;2.96253E-06;-6.163489E-06;3.938256E-06;9.495453E-06;7.553709E-06
"6237343";-7.391362E-05;-4.931015E-05;5.025452E-07;-6.628562E-06;-1.25407E-05;2.134858E-06;1.150249E-05;5.337897E-06;5.754808E-06;8.028704E-07;6.230352E-07;-1.695021E-06
"6237344";-4.203099E-05;1.996258E-05;6.098875E-06;3.624533E-07;-2.226139E-06;5.650283E-07;9.435325E-06;2.60569E-06;-1.106874E-06;2.015373E-06;3.267425E-06;-3.536827E-06
"6237345";-4.526748E-05;-2.944312E-05;8.292341E-06;-5.943702E-06;-1.012548E-05;-1.580961E-05;3.527997E-06;3.06554E-06;2.588985E-06;3.073938E-07;-2.151607E-06;-2.213526E-06
"6237346";-2.008384E-05;5.513383E-05;-8.310298E-06;2.086059E-06;1.182246E-05;-4.97366E-06;2.023131E-06;3.526184E-06;-5.830629E-06;-1.738703E-06;3.469793E-06;1.640271E-06
"6237347";2.564185E-06;-5.164491E-05;-2.271675E-05;2.750656E-06;7.032683E-06;-2.321987E-06;-4.483304E-06;2.041284E-06;-3.327606E-06;8.458263E-07;1.706963E-06;5.776114E-06
"6237348";-2.504587E-05;6.01055E-05;-6.966875E-06;-3.286498E-06;-1.913982E-06;-9.574573E-06;2.829541E-06;-1.025729E-06;1.448322E-06;-3.945859E-06;7.786144E-07;-1.713464E-06
"6237349";-2.831914E-05;-1.354424E-06;1.669393E-05;-1.601227E-05;1.865363E-06;-1.173993E-05;1.390041E-06;1.922674E-06;-4.315923E-06;1.893781E-06;3.146101E-06;7.631113E-06
"6237351";-2.510161E-05;-1.600186E-05;-5.145235E-06;-8.355513E-06;-9.82103E-06;-1.389886E-05;3.36708E-07;3.707149E-06;1.03219E-06;-1.177261E-06;-4.276031E-06;-2.479679E-06
"6237352";-3.783768E-05;5.28034E-05;8.617464E-06;8.899044E-06;-9.208788E-06;-1.137252E-06;1.179409E-05;-6.295786E-07;2.880296E-06;-2.663642E-06;1.808655E-06;3.043097E-07
"6237354";4.595504E-05;-1.450232E-05;-7.343259E-06;-1.087783E-05;-1.101973E-05;4.157371E-06;1.168764E-07;-2.693197E-06;1.497118E-06;-1.022362E-07;-8.23038E-06;1.190206E-06
"6237355";-4.796802E-06;5.210222E-05;-2.684806E-07;9.187977E-06;1.168044E-05;5.129912E-06;6.9324E-06;3.054169E-06;-8.518085E-06;-1.926633E-06;3.987412E-07;-3.817399E-06
"6237356";4.410645E-05;1.750526E-06;-9.733464E-06;-6.593313E-06;1.453174E-05;1.651382E-05;9.405395E-06;6.440172E-06;-4.863382E-06;-7.869302E-07;-3.818222E-06;9.056337E-07
"6237357";4.83527E-06;-3.536564E-05;5.051127E-06;-2.612005E-07;1.515365E-06;9.159507E-06;-7.848812E-06;-1.94273E-07;5.326891E-06;2.929705E-06;-2.570194E-06;2.289163E-07
"6237358";-4.733718E-05;1.653664E-05;-1.025975E-05;-2.10037E-07;-9.820262E-06;1.209623E-05;3.003753E-06;-2.629943E-07;4.457482E-06;-1.259731E-06;-1.080422E-06;-9.663938E-07
"6237360";-8.596247E-06;-1.877929E-05;1.038616E-05;1.199481E-05;6.370086E-06;1.243468E-05;-7.292978E-07;-3.967502E-06;-1.119617E-06;9.286507E-07;-4.467706E-06;7.57508E-08
"6237361";0.0001144274;-4.016898E-05;-1.192721E-05;-2.227606E-05;2.555088E-06;1.750967E-05;3.189371E-05;-9.03097E-06;3.04894E-06;-1.303203E-06;-1.134554E-06;1.916366E-06
"6237362";0.0001133696;-4.370698E-05;-1.593723E-05;-2.412594E-05;2.126545E-06;1.785061E-05;3.127427E-05;-1.004926E-05;4.137054E-06;-2.004725E-06;-2.220254E-06;-1.836688E-07
"6237363";-4.768703E-05;2.045622E-05;1.206473E-05;-7.527746E-07;-1.246088E-05;-1.404093E-05;2.54019E-06;-4.843849E-06;2.36739E-06;-1.699321E-06;-2.660465E-06;-6.427862E-07
"6237364";-1.008288E-05;3.738416E-05;-9.468123E-06;-4.449603E-06;1.262184E-05;-2.471603E-06;-5.292782E-06;1.973679E-06;-3.525796E-06;-2.417012E-07;3.188872E-06;1.802381E-06
"6237365";-2.894506E-05;-3.161125E-05;4.515862E-06;-9.675362E-06;1.211772E-06;-3.573061E-06;-4.092488E-06;2.640991E-06;-2.448207E-06;-5.495257E-07;-1.093661E-06;2.703173E-06
"6237366";-2.575308E-05;5.130696E-05;-7.670217E-06;-7.265582E-06;-1.00023E-05;-3.442389E-06;-2.48579E-06;-3.706453E-06;1.286414E-06;-2.46323E-06;-1.714979E-06;-4.804763E-07
"6237368";6.851524E-05;7.920178E-05;-9.390307E-06;4.524985E-06;1.150936E-05;1.338124E-05;2.445724E-06;6.99254E-06;6.219531E-06;1.780276E-08;-2.829551E-06;3.381334E-06
"6237370";-7.818259E-06;2.435096E-05;-4.524979E-06;-5.602819E-07;7.523136E-06;1.334031E-07;1.981901E-06;3.725503E-06;1.082279E-06;-1.503163E-08;-1.651011E-06;-3.872147E-07
"6237372";2.933681E-05;3.050171E-05;-5.955134E-06;5.659638E-07;4.56529E-06;1.271694E-05;-4.509592E-06;2.350146E-06;2.908767E-06;2.019126E-06;-6.688314E-06;6.28455E-07
"6237373";-1.953047E-05;4.440061E-05;2.034615E-05;2.92108E-06;3.072632E-06;7.600862E-06;4.436085E-06;3.302131E-06;2.559991E-06;-1.386212E-06;-2.814449E-06;-1.580765E-06
"6237376";-2.822288E-05;6.106208E-05;6.155468E-06;-1.814888E-05;-2.217142E-07;-1.444357E-05;1.253836E-06;1.549568E-06;2.605319E-06;2.635437E-06;-4.480072E-07;-3.592858E-06
"6237377";2.627076E-05;-1.360985E-06;4.29652E-06;-5.553915E-07;1.103578E-05;1.136772E-05;-3.919731E-06;-2.725548E-07;1.651647E-07;8.331243E-07;-5.995681E-06;-4.57995E-06
"6237380";-2.162095E-05;5.359437E-05;9.145469E-06;-6.887806E-06;3.175136E-06;4.982223E-08;-2.422715E-06;1.608309E-06;4.862407E-06;1.613106E-06;-1.646528E-06;2.640706E-06
"6237381";-5.184056E-05;4.567321E-05;4.342668E-06;-4.73963E-06;-1.390054E-06;8.730953E-06;8.454927E-06;-8.755727E-07;6.917131E-06;7.714137E-07;1.844807E-06;-2.106257E-06
"6237382";-3.115962E-05;6.752116E-05;-6.414572E-06;2.326076E-06;-3.287824E-06;3.148796E-06;-1.569092E-07;-4.602659E-06;-4.680617E-07;-1.293795E-06;4.076798E-06;4.027955E-06
"6237383";-6.423265E-06;-2.082376E-05;2.322466E-05;2.326519E-07;2.348531E-06;-7.607784E-06;-5.219113E-06;2.368304E-06;4.366997E-06;7.242024E-06;-4.547565E-06;2.191903E-06
"6237384";-5.64168E-05;-2.336829E-05;-2.534831E-05;1.123777E-05;-5.71294E-06;2.035251E-05;-2.723519E-06;-2.108265E-07;-2.010365E-06;-2.504669E-06;4.033836E-06;3.145103E-06
"6237385";6.391491E-05;5.738467E-06;1.286381E-06;-5.147956E-06;1.574298E-05;2.15919E-06;5.64026E-06;8.822681E-07;-4.175883E-07;3.798488E-06;-3.645389E-06;-5.791092E-06
"6237391";-4.215377E-05;8.556807E-06;9.366213E-06;-4.182866E-06;-4.571966E-06;2.850686E-06;-1.387276E-06;-1.671661E-06;3.215664E-06;3.306505E-07;1.87832E-06;8.479968E-07
"6237392";-1.086382E-05;-8.70561E-07;-3.94414E-06;-6.333222E-06;-7.79903E-06;5.291115E-06;6.273879E-07;2.971689E-06;2.401329E-06;1.896035E-06;-3.784391E-06;2.635344E-06
"6237393";-4.007645E-05;-2.667762E-05;3.131497E-05;-2.197601E-06;-8.418516E-06;-1.29703E-07;1.742604E-06;-2.221952E-06;4.397763E-07;-1.478296E-06;-3.067323E-06;2.735749E-06
"6237394";-5.141929E-06;2.199838E-05;-2.033192E-06;1.383642E-05;3.2831E-08;1.89628E-06;-1.158106E-06;-2.664654E-06;-3.673474E-06;3.063295E-07;-4.957647E-07;3.381294E-06
"6237395";-1.838532E-06;2.980391E-05;-1.695318E-06;4.930525E-06;-7.431713E-06;-1.500294E-06;-1.788098E-06;2.654232E-06;-3.204137E-07;2.047614E-06;-5.061017E-07;6.826339E-06
"6237396";-2.171229E-05;1.993933E-05;-7.16729E-06;-3.581794E-06;-1.734864E-05;-6.104098E-06;-1.035134E-06;-1.931848E-06;-1.400223E-06;-1.699031E-06;-2.022353E-06;-8.423079E-07
"6237397";-2.781034E-06;5.540988E-05;9.127783E-06;8.909965E-07;1.089158E-06;7.677218E-06;7.722631E-07;2.004947E-06;7.83249E-07;-9.740028E-07;-1.877665E-06;2.59469E-06
"6237398";-9.311283E-06;4.566368E-06;-6.078675E-06;2.479619E-06;-4.064715E-06;-1.187261E-05;-2.194353E-06;2.610078E-06;-3.772016E-07;-1.011235E-06;-5.674195E-06;-1.360161E-06
"6237399";-3.074897E-05;2.199427E-05;6.008109E-07;-3.679684E-06;-2.555084E-07;-1.967385E-05;1.643747E-07;-2.290746E-06;-2.235185E-06;2.618551E-06;1.215111E-06;-2.222826E-07
"6237400";-8.292376E-06;4.400988E-05;-2.227897E-05;-9.825666E-07;-1.463539E-05;-7.602057E-06;-1.583192E-06;-4.319471E-06;-4.072854E-06;-3.446246E-06;-2.595609E-06;5.994125E-07
"6237401";-1.067502E-05;3.116979E-05;2.106285E-05;-6.983288E-06;-1.027913E-05;3.357388E-06;4.090543E-06;1.375882E-06;-2.941137E-06;5.056454E-07;-7.484966E-07;2.696872E-06
"6237402";8.070717E-06;6.826588E-05;8.301095E-06;-2.67036E-06;-1.482874E-05;-9.07586E-06;4.109563E-06;-1.706044E-06;-4.536361E-09;2.369904E-07;-5.664684E-06;4.139524E-06
"6237403";-1.567849E-05;-2.87238E-05;1.173525E-05;4.644145E-06;-1.599793E-06;-1.611413E-05;1.775878E-06;1.057444E-06;-1.92292E-06;-2.731877E-07;-3.313381E-06;6.356014E-06
"6237404";3.401447E-06;7.593011E-06;-1.207928E-05;6.000665E-06;-1.136265E-05;-1.150863E-05;3.341401E-06;2.954055E-06;-2.849136E-06;-1.309308E-06;-3.030544E-06;8.992067E-07
"6237406";-2.985944E-05;-6.505098E-06;9.562913E-06;1.033681E-05;-6.828955E-06;-8.914804E-06;2.052305E-06;-4.705435E-06;-3.282677E-06;-1.222103E-06;-2.08248E-06;3.289959E-06
"6237408";1.382041E-06;1.411367E-05;2.618794E-05;1.253778E-05;4.11042E-08;-5.751588E-06;7.10301E-07;-1.044859E-06;-1.385211E-06;5.823128E-08;-1.041654E-06;4.498204E-07
"6237409";-2.704959E-06;-2.421577E-05;1.195017E-05;1.134472E-05;-2.332253E-06;-1.225563E-05;-2.686671E-06;2.762146E-06;-2.023062E-06;2.884688E-07;1.841983E-06;5.310252E-06
"6237410";-3.274515E-05;1.210006E-05;-1.659818E-05;4.405839E-06;-1.985751E-05;-7.810129E-06;6.742103E-06;1.600808E-06;1.720269E-06;-3.073997E-07;5.880226E-08;2.38268E-06
"6237412";-2.033256E-05;4.227303E-05;5.44364E-06;-2.206044E-05;-1.538724E-05;3.975977E-06;2.821E-06;-1.963027E-06;-1.582668E-06;5.651123E-06;1.463783E-06;-1.770539E-06
"6237413";-2.22957E-05;9.238919E-06;1.439275E-06;-6.267707E-06;-9.986925E-06;-4.415051E-06;-1.161514E-06;1.118788E-07;-3.889333E-06;7.491279E-07;-3.158432E-06;1.95644E-06
"6237414";-2.07792E-05;6.66582E-06;3.167693E-05;1.455028E-06;2.027839E-06;-1.418354E-06;8.878807E-07;-8.234356E-06;-3.621723E-06;1.439879E-06;1.471592E-07;4.178146E-06
"6237416";-1.771209E-05;2.57172E-06;2.219098E-05;1.307783E-05;1.245894E-05;1.749773E-06;-4.417149E-07;-6.654694E-06;3.057798E-07;3.758322E-07;-2.763603E-06;2.242589E-06
"6237417";-6.547719E-07;-9.279084E-06;1.915253E-05;8.304752E-06;-5.422593E-06;-5.511218E-06;5.724674E-06;1.044343E-06;-1.575036E-06;2.79589E-06;-9.803175E-07;6.379312E-06
"6237418";1.381575E-05;4.354227E-05;2.053705E-05;1.36801E-05;8.093676E-07;-5.479195E-06;9.660978E-06;1.958712E-06;-9.838068E-06;-2.367679E-06;-5.620985E-06;-7.48153E-08
"6237419";-1.157852E-05;-3.27966E-05;1.015051E-05;2.298918E-06;-3.688488E-06;-6.924412E-06;-4.692838E-06;-4.263975E-06;9.014098E-07;8.390336E-07;-5.825603E-06;1.079979E-06
"6237420";-1.879264E-06;2.115507E-05;-7.910934E-07;6.954651E-06;-3.261918E-06;1.067903E-05;-2.568842E-06;-2.547181E-06;2.517219E-06;4.573857E-07;-5.696187E-06;-2.211187E-06
"6237421";-2.89331E-06;-7.331455E-05;1.629535E-05;-1.022373E-05;-1.947712E-06;-1.691214E-05;-4.277545E-07;-1.733111E-06;1.592775E-06;3.254117E-07;-4.332998E-06;3.572178E-06
"6237422";-5.313433E-06;1.979618E-05;8.672841E-06;2.996533E-07;2.486643E-06;-5.939618E-06;-3.54594E-06;2.601869E-06;-3.309787E-06;3.478692E-07;-2.080958E-06;1.993076E-06
"6237423";7.859483E-05;-1.070038E-05;-1.36548E-05;-3.904765E-06;-5.781828E-06;-3.758844E-06;8.534395E-06;-2.890931E-06;6.142379E-06;1.139896E-06;1.066345E-06;4.556341E-06
"6237424";0.0001093508;1.046591E-06;9.510814E-06;-9.667126E-06;2.551673E-06;1.72973E-05;1.747839E-05;-3.787742E-06;6.042679E-06;2.892929E-07;7.100095E-08;7.921179E-06
"6237426";3.967997E-05;-3.048391E-05;-5.935092E-07;-4.687695E-06;1.955693E-05;-2.05438E-06;7.976404E-06;1.165104E-06;4.304359E-07;-3.63833E-06;-3.6735E-06;3.677412E-06
"6237427";-6.698918E-06;3.637275E-05;7.23651E-06;-1.466107E-05;7.955161E-06;-1.32834E-05;-1.827525E-06;4.58241E-06;1.257406E-06;2.962386E-06;2.762199E-07;3.891297E-06
"6237429";-1.113624E-05;-4.507118E-06;1.06938E-05;1.620505E-06;3.461572E-06;-5.084731E-07;-2.735492E-06;3.925935E-06;1.40484E-07;6.618091E-07;-2.649335E-06;-2.918645E-06
"6237430";-3.216684E-05;-1.666868E-05;-3.965318E-06;-1.160069E-06;4.463493E-06;-6.647977E-06;3.367385E-07;1.01836E-07;-3.825456E-06;-1.391751E-06;-8.892357E-07;5.193019E-07
"6237431";-1.024032E-05;-1.944442E-08;1.086945E-05;8.507273E-07;2.991083E-06;-2.80621E-06;-2.299417E-06;3.691721E-06;-3.586188E-07;-4.521692E-07;-2.285562E-06;-2.648994E-06
"6237467";-3.049502E-05;-5.586294E-05;7.821572E-06;1.801933E-05;-6.059771E-06;7.006272E-06;-1.635232E-06;-2.801992E-06;-2.948468E-06;-1.410225E-06;-3.421474E-06;-3.637568E-06
"6237468";1.764051E-05;-1.221444E-05;5.688755E-06;1.287858E-05;-5.501211E-06;1.745219E-05;-8.845695E-06;-4.417045E-06;-2.883774E-06;-1.060823E-06;-3.887983E-06;-1.27021E-06
"6237469";2.439618E-05;-2.962772E-06;-1.659154E-06;1.017405E-05;1.084822E-06;6.145821E-06;-8.582059E-06;-4.54171E-06;6.656691E-07;1.148529E-06;-8.572427E-07;3.48148E-06
"6237470";3.623127E-05;-4.384438E-05;-1.006062E-05;-6.388449E-06;1.091643E-05;7.291974E-06;2.990815E-07;-2.467877E-06;2.677744E-06;-1.170266E-06;-6.783385E-06;2.838672E-06
